,GLOBAL UNIQUE IDENTIFIER,LAST EDITED DATE,TAXONOMIC ORDER,CATEGORY,COMMON NAME,SCIENTIFIC NAME,SUBSPECIES COMMON NAME,SUBSPECIES SCIENTIFIC NAME,OBSERVATION COUNT,BREEDING BIRD ATLAS CODE,BREEDING BIRD ATLAS CATEGORY,AGE/SEX,COUNTRY,COUNTRY CODE,STATE,STATE CODE,COUNTY,COUNTY CODE,IBA CODE,BCR CODE,USFWS CODE,ATLAS BLOCK,LOCALITY,LOCALITY ID,LOCALITY TYPE,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED,OBSERVER ID,SAMPLING EVENT IDENTIFIER,PROTOCOL TYPE,PROTOCOL CODE,PROJECT CODE,DURATION MINUTES,EFFORT DISTANCE KM,EFFORT AREA HA,NUMBER OBSERVERS,ALL SPECIES REPORTED,GROUP IDENTIFIER,HAS MEDIA,APPROVED,REVIEWED,REASON,TRIP COMMENTS,SPECIES COMMENTS,Unnamed: 46
30,URN:CornellLabOfOrnithology:EBIRD:OBS430310346,2020-02-28 21:12:07,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Bass Coast,AU-VIC-BAS,,,,,Cape Paterson Coastal Reserve,L4929303,H,-38.6738,145.6033,1985-10-19,,obsr450891,S31616567,Historical,P62,EBIRD_AU,,,,1.0,1,,0,1,0,,,,
31,URN:CornellLabOfOrnithology:EBIRD:OBS537305737,2020-02-28 23:37:55,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,East Gippsland,AU-VIC-EAS,,,,,Gipsy Point,L2041747,H,-37.4798305,149.67996600000000,1988-09-28,07:00:00,obsr7948,S39489754,Traveling,P22,EBIRD,480.0,10.0,,1.0,1,,0,1,0,,,,
32,URN:CornellLabOfOrnithology:EBIRD:OBS228427564,2020-02-28 19:45:35,5753,species,Hooded Plover,Thinornis cucullatus,,,4,,,,Australia,AU,Victoria,AU-VIC,Glenelg,AU-VIC-GLG,,,,,Bridgewater Bay,L2547969,H,-38.3678771,141.4748047,1986-06-18,,obsr19060,S16641873,Historical,P62,EBIRD_AU,,,,,1,,0,1,0,,Hooded Plover and Pied Oystercatcher survey Eremaea Birds List 10852,,
33,URN:CornellLabOfOrnithology:EBIRD:OBS228441301,2020-02-28 23:32:23,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Moyne,AU-VIC-MOY,,,,,Killarney Beach,L1121735,H,-38.356545700000000,142.31097220000000,1955-08-27,,obsr450476,S16605402,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,"Survey for World Bird Day by G. Brady and G. Bowker, reported in Sup. to The Bird Observer dated August, 1957. Eremaea Birds List 11325",,
34,URN:CornellLabOfOrnithology:EBIRD:OBS228293453,2017-10-23 12:05:08,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,South Australia,AU-SA,Kangaroo Island,AU-SA-KAN,,,,,Pelican Lagoon,L2541678,H,-35.82505,137.79464,1994-05-02,,obsr447842,S16688092,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,Eremaea Birds List 3968,,
35,URN:CornellLabOfOrnithology:EBIRD:OBS932547875,2020-05-30 20:48:53,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Colac-Otway,AU-VIC-COL,,,,,Lake Colac,L2548311,H,-38.309330000000000,143.59268,1987-11-15,,obsr548743,S52749145,Historical,P62,EBIRD,,,,,0,,0,1,0,,,,
36,URN:CornellLabOfOrnithology:EBIRD:OBS228519523,2017-10-20 12:22:21,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Tasmania,AU-TAS,Flinders,AU-TAS-FLI,,,,,Little Chalky Island,L2548417,H,-40.13794,147.89314,1976-11-24,,obsr450476,S16680946,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,"Survey by John Whinray, reported in The Bird Observer dated October, 1977. Eremaea Birds List 15040",,
37,URN:CornellLabOfOrnithology:EBIRD:OBS228420205,2020-03-25 00:20:46,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Glenelg,AU-VIC-GLG,,,,,Bridgewater Bay,L2547969,H,-38.3678771,141.4748047,1954-09-04,,obsr450476,S16705350,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,"Survey for World Bird Day by G. Beuglehole, T. Meisner and N. Learmonth, reported in The Bird Observer in 1955. Eremaea Birds List 10312",,
38,URN:CornellLabOfOrnithology:EBIRD:OBS537467385,2017-10-20 12:24:13,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Tasmania,AU-TAS,Glamorgan/Spring Bay,AU-TAS-GLA,,,,,Maria Island National Park,L933803,H,-42.6435561,148.0778503,1992-01-07,,obsr856464,S39499647,Historical,P62,EBIRD,,,,,0,,0,1,0,,,,
39,URN:CornellLabOfOrnithology:EBIRD:OBS862310525,2020-02-17 00:35:02,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,New South Wales,AU-NSW,Bega Valley,AU-NSW-BEG,,,,,Nadgee NR Wally Newton Flat and Beach,L10338143,P,-37.3712396,149.9476563,1973-01-04,07:00:00,obsr1375321,S64306919,Traveling,P22,EBIRD_AU,360.0,4.0,,3.0,1,,0,1,0,,,2 on Jane Spiers Beach,
40,URN:CornellLabOfOrnithology:EBIRD:OBS239750223,2019-12-31 01:55:56,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Tasmania,AU-TAS,Flinders,AU-TAS-FLI,,,,,Flinders Island,L2548427,H,-40.050740000000000,148.10668,1996-07-27,,obsr450923,S17438748,Historical,P62,EBIRD_AU,,,,2.0,1,,0,1,0,,"First trip to Flinders Island, bird list compiled over two days.",,
41,URN:CornellLabOfOrnithology:EBIRD:OBS228336295,2018-12-20 02:39:38,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,South Australia,AU-SA,Grant,AU-SA-GRA,,,,,Carpenter Rocks 10' Cell,L2548795,P,-37.91667,140.41667000000000,1991-06-23,,obsr19060,S16714829,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,Wader survey Eremaea Birds List 6371,2,
42,URN:CornellLabOfOrnithology:EBIRD:OBS361897790,2020-05-16 20:59:38,5753,species,Hooded Plover,Thinornis cucullatus,,,5,,,,Australia,AU,South Australia,AU-SA,The Coorong,AU-SA-THE,,,,,Coorong National Park--Salt Creek,L1097751,H,-36.128308400000000,139.64241030000000,1996-05-16,,obsr357881,S26524011,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,,,
43,URN:CornellLabOfOrnithology:EBIRD:OBS610714011,2020-04-11 03:07:17,5753,species,Hooded Plover,Thinornis cucullatus,,,1,,,,Australia,AU,Victoria,AU-VIC,Moyne,AU-VIC-MOY,,,,,Griffiths Island,L2064000,H,-38.393060600000000,142.2462286,1999-01-31,,obsr357881,S26544757,Historical,P62,EBIRD,,,,1.0,1,,0,1,0,,,,
44,URN:CornellLabOfOrnithology:EBIRD:OBS911232106,2020-06-02 20:48:30,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,Tasmania,AU-TAS,George Town,AU-TAS-GEO,,,,,George Town,L2547934,H,-41.106770000000000,146.823,1978-09-05,,obsr535985,S68368041,Historical,P62,EBIRD,,,,2.0,0,,0,1,0,,"Birding along shore of Tamar River, mainly around sewage outlet",,
45,URN:CornellLabOfOrnithology:EBIRD:OBS172229602,2020-02-17 18:55:03,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,New South Wales,AU-NSW,Eurobodalla,AU-NSW-EUR,,,,,NSW Murramurrang NP,L1820933,P,-35.7095869,150.27584120000000,1989-10-01,08:30:00,obsr331259,S12261253,Traveling,P22,EBIRD,480.0,5.0,,2.0,1,,0,1,0,,,,
46,URN:CornellLabOfOrnithology:EBIRD:OBS331328127,2017-10-20 12:24:13,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,Tasmania,AU-TAS,Glamorgan/Spring Bay,AU-TAS-GLA,,,,,Maria Island National Park,L933803,H,-42.6435561,148.0778503,1991-07-14,07:30:00,obsr177985,S24232400,Historical,P62,EBIRD,360.0,,,3.0,1,,0,1,0,,"Luc Fazio, Dan & Roberta Salisbury are looking for endemic birds",,
47,URN:CornellLabOfOrnithology:EBIRD:OBS560693951,2020-02-17 05:41:24,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,New South Wales,AU-NSW,Eurobodalla,AU-NSW-EUR,,,,,Batehaven,L6615404,P,-35.72614180000000,150.1980615,1996-02-13,,obsr731665,S41354747,Historical,P62,EBIRD,,,,2.0,1,,0,1,0,,,,
48,URN:CornellLabOfOrnithology:EBIRD:OBS528777617,2020-02-28 23:36:47,5753,species,Hooded Plover,Thinornis cucullatus,,,1,,,,Australia,AU,Victoria,AU-VIC,East Gippsland,AU-VIC-EAS,,,,,Mallacoota,L2040935,H,-37.556196500000000,149.7560281,1984-01-16,,obsr789613,S38899394,Historical,P62,EBIRD_AU,,,,1.0,1,,0,1,0,,,On north side of the entrance.,
49,URN:CornellLabOfOrnithology:EBIRD:OBS901407213,2020-04-28 23:10:04,5753,species,Hooded Plover,Thinornis cucullatus,,,3,,,,Australia,AU,New South Wales,AU-NSW,Bega Valley,AU-NSW-BEG,,,,,Nadgee Nature Reserve,L2550917,H,-37.375610000000000,149.89883,1969-06-14,09:00:00,obsr511961,S67707954,Historical,P62,EBIRD,480.0,,,5.0,1,,0,1,0,,"Spent on Nadgee moor and S to Salt Lake and Endeavour Moor. In the afternoon we set off for N side of Nadgee river and explored Impressa moor until dusk. Party also included Chris Davey, Joe Forshaw, Richard and Jean Groves.--Overcast but occasionally sunny. Southerly blowing.",One Salt Lake and two Nadgee River mouth late in the day.,
50,URN:CornellLabOfOrnithology:EBIRD:OBS788823687,2020-02-28 22:20:38,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Wellington,AU-VIC-WEL,,,,,Sperm Whale Point and Rotomah,L9699714,P,-37.9670203,147.7137226,1991-01-26,06:00:00,obsr545855,S58480209,Traveling,P22,EBIRD,720.0,6.0,,2.0,1,,0,1,0,,VWSG visit for tern banding - includes visit to Rotomah,,
51,URN:CornellLabOfOrnithology:EBIRD:OBS874574511,2020-05-16 03:54:10,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Tasmania,AU-TAS,Kingborough,AU-TAS-KIN,,,,,Bruny Island State Forest,L942994,H,-43.398562,147.319622,1990-04-15,,obsr625454,S65483484,Historical,P62,EBIRD,,,,3.0,1,G5338589,0,1,0,,,,
52,URN:CornellLabOfOrnithology:EBIRD:OBS953810974,2020-07-08 22:52:30,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,Tasmania,AU-TAS,Glamorgan/Spring Bay,AU-TAS-GLA,,,,,Maria Island National Park,L933803,H,-42.6435561,148.0778503,1987-11-22,,obsr548743,S52750356,Historical,P62,EBIRD,,,,,1,,0,1,0,,,,
53,URN:CornellLabOfOrnithology:EBIRD:OBS228323721,2017-10-23 13:12:43,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,South Australia,AU-SA,Kangaroo Island,AU-SA-KAN,,,,,Hanson Bay,L2543154,H,-36.019940000000000,136.85394,1995-12-30,,obsr19060,S16636798,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,Eremaea Birds List 5859,2,
54,URN:CornellLabOfOrnithology:EBIRD:OBS600565639,2020-04-11 03:07:17,5753,species,Hooded Plover,Thinornis cucullatus,,,2,,,,Australia,AU,Victoria,AU-VIC,Moyne,AU-VIC-MOY,,,,,Griffiths Island,L2064000,H,-38.393060600000000,142.2462286,1986-06-21,,obsr357881,S26517173,Incidental,P20,EBIRD,,,,,0,,0,1,0,,,,
55,URN:CornellLabOfOrnithology:EBIRD:OBS834636890,2020-02-28 21:06:20,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Bass Coast,AU-VIC-BAS,,,,,Cape Paterson First Surf Beach,L2549099,H,-38.67691,145.60993,1999-10-29,12:10:00,obsr1329867,S61968872,Traveling,P22,EBIRD_AU,20.0,0.4,,1.0,1,,0,1,0,,,,
56,URN:CornellLabOfOrnithology:EBIRD:OBS191481509,2017-10-23 11:34:55,5753,species,Hooded Plover,Thinornis cucullatus,,,1,,,,Australia,AU,South Australia,AU-SA,Yorke Peninsula,AU-SA-YOR,,,,,Innes National Park,L1299637,H,-35.2264384,136.89531330000000,1999-04-19,,obsr170034,S13806407,Incidental,P20,EBIRD,,,,1.0,1,,0,1,0,,,M,
57,URN:CornellLabOfOrnithology:EBIRD:OBS228387641,2020-02-28 23:38:59,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,East Gippsland,AU-VIC-EAS,,,,,Ocean Grange,L2549182,H,-37.95773,147.74826000000000,1961-04-01,,obsr450476,S16612523,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,"Survey by BOCA Members on their Easter excursion ,reported by Roy Wheeler in The Bird Observer dated July,1961. Eremaea Birds List 9376",,
58,URN:CornellLabOfOrnithology:EBIRD:OBS228420603,2020-03-25 00:37:38,5753,species,Hooded Plover,Thinornis cucullatus,,,X,,,,Australia,AU,Victoria,AU-VIC,Moyne,AU-VIC-MOY,,,,,Port Fairy 10' Cell,L2547614,P,-38.41666,142.25,1954-08-28,,obsr450476,S16692976,Incidental,P20,EBIRD_AU,,,,,1,,0,1,0,,"Tower Hill - Port Fairy. Survey for World Bird Day by M. Brady and G. Bowker, reported in Sup. to The Bird Observer in 1955. Eremaea Birds List 10319",,
